common_voice_yue_40641358 可惜同嘅人手快閂咗門
common_voice_yue_40690434 但係睇得多其實會明
common_voice_yue_40690435 乜屋企有啲噉嘅嘢㗎咩？
common_voice_yue_40690436 等機票酒店平啲先
common_voice_yue_40690437 一言驚醒夢中人
common_voice_yue_40690453 好似我咁天真
common_voice_yue_40690454 因為佢笑得好好睇
common_voice_yue_40690455 你係點做咗我阿哥男朋友㗎？
common_voice_yue_40690456 平時冇搽防曬
common_voice_yue_40690533 但係上層有呢個都幾無謂
common_voice_yue_40690534 係咪生仔救港嘅朋友
common_voice_yue_40690535 你想傾我要走嘅嘢
common_voice_yue_40690536 要買過部機起碼可以慢慢儲錢
common_voice_yue_40690560 佢平時鬧得我仲甘啊！
common_voice_yue_40690561 你仲企到嘅？
common_voice_yue_40690562 今世有你錫佢，下世佢實搵到住好人家
common_voice_yue_40690590 無論表面上啲人係點樣睇佢
common_voice_yue_40690592 唔係喺後門咩？
common_voice_yue_40693235 最後都係會面對戰爭
common_voice_yue_40693236 以為自己好型？
common_voice_yue_40693239 因為今朝落地盤
common_voice_yue_40693262 整曲奇畀你嗰個人
common_voice_yue_40693263 噉你唔講我點會明你啊？
common_voice_yue_40693265 直女唔想我暗戀佢
common_voice_yue_40693266 可愛嘅小朋友
common_voice_yue_40693282 你係咪有啲咩深刻嘅體會
common_voice_yue_40693283 你要減下肥啦
common_voice_yue_40693284 可能覺得標題寫得好
common_voice_yue_40693285 虛擬貨幣真係唔敢掂
common_voice_yue_40693286 我準備咗呢樣嘢畀你
common_voice_yue_40693335 所以都有意義
common_voice_yue_40693338 不過我通常準備得比較耐
common_voice_yue_40693339 我都唔信佢
common_voice_yue_40693453 呢條片有美國海軍教有人揮刀點全速自保，必學
common_voice_yue_40693454 唔怕啦，出面仲有一片森林
common_voice_yue_40693462 我都唔知叫華語定咩好
common_voice_yue_40693464 男女節目嚟
common_voice_yue_40693467 等多啲人入嚟鳩噏
common_voice_yue_40693492 我可唔可以同你影張相呀
common_voice_yue_40693494 另一方面睇都係淡如水嘅相處先可以細水長流
common_voice_yue_40693495 噉我寧願繼續冇，麻煩到我
common_voice_yue_40693497 網速唔好啩
common_voice_yue_40693512 我扭親腳行唔到
common_voice_yue_40693513 之後改變下理財習慣唔好碌卡
common_voice_yue_40693520 係差畀錢呢步自己做唔到
common_voice_yue_40693523 呢樣我又知喎
common_voice_yue_40693629 你識咩朋友廿尾就結婚生仔？
common_voice_yue_40693630 由第一日我遇到你
common_voice_yue_40696632 勁多嘢睇，啲嘢又平
common_voice_yue_40696635 幾時飛啊，自己一個去？
common_voice_yue_40696636 有鼻樑嘅會有嘢做，冇鼻樑就係唔使撈少奶奶命
common_voice_yue_40711550 完全脫離現實
common_voice_yue_40711552 身在中國同身在西方都係爭好遠嘅
common_voice_yue_40711553 好好珍惜喇
common_voice_yue_40711555 一定係，除非唔係
common_voice_yue_40711575 裸上半身跑囉
common_voice_yue_40711578 東亞人唔准演阿拉伯人，阿拉伯人唔准演印度人，印度人唔准演歐洲人？
common_voice_yue_40711590 當自己屋企得㗎喇
common_voice_yue_40711592 毒開嘅命運無法逆轉
common_voice_yue_40711594 嚇鬼死人咩？
common_voice_yue_40711615 我去重點啦咁
common_voice_yue_40711616 我唔準你噉講
common_voice_yue_40711617 僅存嘅人類逃亡到月球之後就派人造人去地球同機械生物戰鬥
common_voice_yue_40711634 有人可以入嚟
common_voice_yue_40711635 通常都係因為佢真係食咗煙
common_voice_yue_40711636 你係大婆嘛
common_voice_yue_40711637 黐線，成件事勁癲
common_voice_yue_40711643 阿姐有冇心得？
common_voice_yue_40711644 有需要嘅時候愛國嘅就唔少
common_voice_yue_40711646 其實都叫大致啱使，至少冇乜官話
common_voice_yue_40711647 你返工正職係打機？
common_voice_yue_40711659 如果你真係咁想知嘅話
common_voice_yue_40711660 我唔講得㗎
common_voice_yue_40711661 睇落好好味啊
common_voice_yue_40711693 我唔準你噉樣啊
common_voice_yue_40711694 見唔見到佢頭像超靚女
common_voice_yue_40711695 睇嚟唔係得我一個想搵
common_voice_yue_40711697 貼姐姐俾人屌柒
common_voice_yue_40711703 佢已經好有存在感
common_voice_yue_40711704 冇識到想溝嘅人喎
common_voice_yue_40711706 趁而家就好煞掣嘞
common_voice_yue_40711707 噉你想我點做？
common_voice_yue_40711723 你搵邊位啊？
common_voice_yue_40711725 但我唔明啊
common_voice_yue_40711737 我帶住兩老唔會去環球影城
common_voice_yue_40711738 嚇到瀨尿
common_voice_yue_40711742 我愛公司
common_voice_yue_40711743 可能爸爸正職就係救護員
common_voice_yue_40711751 各位早晨
common_voice_yue_40711752 佢話唔係，但事實係
common_voice_yue_40711753 有生意係好事嚟
common_voice_yue_40711769 魚唔過塘唔會肥
common_voice_yue_40711770 我嗰晚都要排戲去唔到睇
common_voice_yue_40711771 就算武術家都唔一定可以入到
common_voice_yue_40711772 仲有中文字幕添
common_voice_yue_40711773 一路解釋內心好崩潰
common_voice_yue_40711793 其實直接刪除對話係咪最不留痕跡
common_voice_yue_40711794 只係咁啱追咗個有八舊腹肌嘅
common_voice_yue_40711796 打個電話啫又唔駛死
common_voice_yue_40711870 私訊搵咗你啊，講交流會
common_voice_yue_40711909 做咩要拱手相讓
common_voice_yue_40711913 生唔出最多係腹肌，點會係積便
common_voice_yue_40711926 唔係講笑
common_voice_yue_40711929 不過好彩香港唔係真係跟足中國啲封城政策
common_voice_yue_40711930 譯嗰個唔知講緊乜就會譯到一坺屎噉
common_voice_yue_40711945 大家有冇啲粵語流行文化最新消息介紹？
common_voice_yue_40711948 都有道理嘅
common_voice_yue_40711949 你肯幫我係因為你想要實戰經驗寫情歌？
common_voice_yue_40711972 現實係骨感嘅
common_voice_yue_40712034 唔該幫我抹下張枱
common_voice_yue_40712035 咪住先，等等等等
common_voice_yue_40712036 榴槤正喎！
common_voice_yue_40712037 嗰陣已經同佢哋講過一次嗰三盒嘢未必可以拎上機
common_voice_yue_40712038 你睇下有個家長會嗰個
common_voice_yue_31938843 我呢度已經係星期日
common_voice_yue_31938854 我鍾意慢慢噉開始，然後發展得好快快快
common_voice_yue_31938866 我覺得今晚要通頂
common_voice_yue_31959991 我哋要堅持，我哋要維持廣東話嘅生存空間
common_voice_yue_31960014 可能隔離咗
common_voice_yue_32393640 收返頭先句話
common_voice_yue_32393641 最後一關喺廢置大樓
common_voice_yue_32393656 記唔記得我個提議
common_voice_yue_40641851 摑佢！再嚟！再嚟！
common_voice_yue_40641852 收到通知，最後冇去
common_voice_yue_40641856 係我自己嘅決定嚟㗎嘛
common_voice_yue_40641861 嗰啲真係搞唔掂
common_voice_yue_40641862 喂！你而家即係要我白行一趟呀？
common_voice_yue_40641864 我最鍾意都係用手掣為咗刷連擊
common_voice_yue_40641865 一返到公司無限扮工嘅美好歲月又完咗
common_voice_yue_40709899 但如果我係做啱又畀唔到理由點解會再做多份出嚟
common_voice_yue_40709900 噉就夠喇咩？
common_voice_yue_40709904 周街都勁多狗
common_voice_yue_40709905 係咪咩嘢嘅簡寫嚟呢？
common_voice_yue_40709906 當你成咗名，素顏都好多人話你靚
common_voice_yue_40709907 星期日去做義工坐埋電單車
common_voice_yue_40709908 你呢個係咩樣嚟？
common_voice_yue_40709920 可能我身邊冇老人家
common_voice_yue_40709921 即係話我細佬可能勁過你
common_voice_yue_40709922 用嚟做訓練語料唔可以有一字多讀同簡寫
common_voice_yue_40709923 亦無可能跟住所謂格式
common_voice_yue_40716984 而家好多中小學生都俾普通話影響咗好多，好多詞語都用咗普通話嘅講法
common_voice_yue_40716985 其實都唔係咩大單嘢
common_voice_yue_40716987 會唔會令到啲人覺得示威有用
common_voice_yue_40717001 唔識喎，有啲噉嘅地方個碼頭浸埋落水？
common_voice_yue_40717002 人哋咪哦
common_voice_yue_40717006 真係帝王級享受嚟
common_voice_yue_40717008 師兄你手機影相好似朦朦哋？
common_voice_yue_40717009 外包啲低端勞動力
common_voice_yue_40717010 但我本身有隻錶戴開
common_voice_yue_40717019 其實而家好似冇咩人理當初啲規矩
common_voice_yue_40717020 好似第一日就爆
common_voice_yue_40717022 做咩要噉做啊？
common_voice_yue_40717026 究竟荃灣係點截的士
common_voice_yue_40717038 講中文名諗唔起係邊個
common_voice_yue_40717039 通常係自動
common_voice_yue_40717040 好唔捨得事頭婆
common_voice_yue_40732935 你遲哂大到啊
common_voice_yue_40732936 對於北方鄰居嘅美食冇咩幻想
common_voice_yue_40732938 不嬲鍾意靚姐姐
common_voice_yue_40732939 佢話佢個女都嗌到好混淆，點解要分兩種叫法
common_voice_yue_40732959 你搵到佢嘅話我怕你即刻將校草拋諸腦後
common_voice_yue_40732961 笑到反肚
common_voice_yue_40732962 我都去緊，去咗日本
common_voice_yue_40732973 早晨，得閒飲茶
common_voice_yue_40732974 如龍世一
common_voice_yue_40732975 有人民幣就進入無敵狀態
common_voice_yue_40732976 佢落嚟香港開分店嗰個時間太尷尬，我已經比覺醒更覺醒
common_voice_yue_40732977 可能我未更新，所以睇唔到
common_voice_yue_40732991 師兄介紹返食咗咩好西
common_voice_yue_40732992 掉你落垃圾桶！
common_voice_yue_40732993 多唔多人覺得共產黨畀飯人民食
common_voice_yue_40732995 呢排台灣有個成功救到出嚟嘅返去開記招親身說法
common_voice_yue_40733012 唔同嘅人自然噉出現喺佢哋會出現嘅地方就夠
common_voice_yue_40733013 大家打完風都係放假嘅心情
common_voice_yue_40733023 而家即刻開門！
common_voice_yue_40733025 冇人會信你
common_voice_yue_40733026 可能佢哋睇到呢幕太感動
common_voice_yue_40733032 我應該已經改返晒，仲有冇漏？
common_voice_yue_40733033 收工又要諗食啲乜
common_voice_yue_40733035 唔好迷戀阿姐啦
common_voice_yue_40733036 部有四個人，各自企一個角落頭
common_voice_yue_40733048 真係好，你全公司都平和佛系熱愛工作
common_voice_yue_40733049 呢個遊戲係過完主線先係真正嘅開始
common_voice_yue_40733050 但我有見到有人係仲可以全罷
common_voice_yue_40733051 有，好多講師係有維基百科嘅頁面
common_voice_yue_40733052 噏乜嘢，好明顯有人亂灌數據落去
common_voice_yue_40733075 你睇下直寄香港要幾錢運費
common_voice_yue_40733076 所以更加抗拒娛樂圈
common_voice_yue_40733079 睇中醫調理先嚟返
common_voice_yue_40733080 呢啲勇士就算唔稱之為同胞，我個心都同佢同在
common_voice_yue_40733095 第二朝又要返工
common_voice_yue_40733098 即刻好擔心佢老婆
common_voice_yue_40733099 你而家就去刷牙洗面咪早瞓到
common_voice_yue_40733116 跪鍵盤認錯啦
common_voice_yue_40733118 論壇或者推文都冇見過有人用羅馬字
common_voice_yue_40733121 心諗唔係連支旗點解紅色底都唔知咓？
common_voice_yue_40733123 而家先知嘅話說明你好後生！
common_voice_yue_40733135 咩點溝仔
common_voice_yue_40733136 你有無聽可愛的太妍的火花
common_voice_yue_40733137 呢啲阿叔喺香港一般稱為廢老
common_voice_yue_40733138 所有嘢係咪都可以變返
common_voice_yue_40733139 想要多啲語料？
common_voice_yue_40733140 唔問下都唔知原來咁多人咁想吹水
common_voice_yue_40733141 呢個咪電話囉，攞去啦
common_voice_yue_40733142 發覺其實人哋係理解到
common_voice_yue_40733143 冇獎競猜遊戲，估下對襪幾錢？
common_voice_yue_40733144 我覺得雨革係其中一個轉捩點
common_voice_yue_40747050 加埋暴雨令視野下降，一係你睇唔到車，一係車睇你唔到
common_voice_yue_40747051 絕對係啦
common_voice_yue_40747052 千百年來，騙徒嘅手法同言辭都真係可以一直推陳出新
common_voice_yue_40747053 微信同大陸電話對返去玩開嘅人唔係問題
common_voice_yue_40747055 啦啦隊係代表緊全個學院㗎
common_voice_yue_40747057 哦，我通常影天影地影嘢食，最主要係報告返畀朋友知，我未死得
common_voice_yue_40747058 加拿大鐵路都由港鐵營運？
common_voice_yue_40747059 尋日搭巴士見到個真係大師級
common_voice_yue_40747060 利申會扮唔怕，但其實好怕
common_voice_yue_40747061 我以前都聽得多佢嘅歌
common_voice_yue_40747062 等我同你打返個茄輪
common_voice_yue_40747063 其他不限
common_voice_yue_40747064 你等等我裝返碌棍先
common_voice_yue_40747066 幾可見過誠哥日日打卡？
common_voice_yue_40747067 大局係人民生活幸福
common_voice_yue_40747068 唔會用可愛嚟形容
common_voice_yue_40747069 庾文翰案嗰時都好轟動
common_voice_yue_40747070 有冇睇到最近柬埔寨詐騙賣豬仔啲新聞
common_voice_yue_40747072 當初嗌人入嚟吹水嗰時，有啲年輕人口講就話難得終於有人同佢吹水，而家就冇晒影
common_voice_yue_40747074 你捨得掉低佢咩？
common_voice_yue_40747075 冇比較就冇傷害
common_voice_yue_40747076 分別在於打風會提早兩個鐘預警
common_voice_yue_40747077 到底係同好啲乜嘢
common_voice_yue_40747078 唔係，我粵語識別懶得打啫
common_voice_yue_40747079 唔知點解以前成日有人話睇我個樣唔似會追星
common_voice_yue_40747080 女皇做得耐，已經唔慣國王
common_voice_yue_40747081 美人魚同埃及妖后搵黑人演又過份咗嘅
common_voice_yue_40747082 因為冇腦唔係一種病，唔需要醫
common_voice_yue_40747083 計啲噉嘅嘢嚟做咩？，你好恨嫁？
common_voice_yue_40747084 我老竇覺得自己永遠都係啱嘅，千錯萬錯都係人哋錯
common_voice_yue_40808399 好嘅，依家知咩意思啦
common_voice_yue_40808400 嚇到我即刻摸一摸，條運動褲都冇褲鏈嘅
common_voice_yue_40808401 有冇吧枱位？
common_voice_yue_40808402 你呢啲係咪叫憑實力單身？
common_voice_yue_40808408 可能喺香港情況唔太差，又冇話睇到喊咁嚴重
common_voice_yue_40808410 不過就助長內容農場
common_voice_yue_40808412 你嚟呢度做乜啊？
common_voice_yue_40808413 我贏咗勁多錢
common_voice_yue_40808417 有兩樣可以做，驗孕同埋睇中醫
common_voice_yue_40808419 佢梗係想搵掟匿喇
common_voice_yue_40808421 二次元比三次元更可愛
common_voice_yue_40808422 噉你之後諗住點啊？
common_voice_yue_40808426 唔係連續啦，慢慢做，廿下一組
common_voice_yue_40808429 小學先學九方，再學速成
common_voice_yue_40808430 所以我先想請你幫手做場戲咋
common_voice_yue_40808445 有少少係連結去英國香港嘅歷史
common_voice_yue_40808446 若果我完全唔知嘅話可能會噉講
common_voice_yue_40808449 你哋就可以證明我係錯㗎嘞！
common_voice_yue_40808466 做完一組拉陣腳筋先再做下一組
common_voice_yue_40808469 請用酒精搓手液清潔雙手
common_voice_yue_40808475 當然民進黨而家係有好多挑剔嘅位，我同意嘅
common_voice_yue_40808476 共存即係不顧大局只顧自己
common_voice_yue_40808478 可能係汲取咗香港教訓
common_voice_yue_40808479 喺啲多急彎嘅公路畫眼線我驚真係會篤盲眼
common_voice_yue_40808488 梗係喇，我而家就熄咗佢
common_voice_yue_40808491 梗係愛國愛港先咁有信心生仔啦
common_voice_yue_40808492 我有樣嘢要公開同你講
common_voice_yue_40808504 如果你唔肯揀我
common_voice_yue_40808506 所以有啲大專院校會黐線到話手語傳譯要收多份學費
common_voice_yue_40808508 瞓醒係咪個人全日都好精神？
common_voice_yue_40808509 不過之後結果係絕大多數朋友都有上街
common_voice_yue_40808515 邊個畀飯食就親邊個
common_voice_yue_40808516 佢係攞嚟套呢啲醫保錢嘅
common_voice_yue_40808523 我都想搞
common_voice_yue_40808525 永遠嘅單相思係咪冇得救？
common_voice_yue_40808526 我其實唔係好明書面語要點廣東話法
common_voice_yue_40808560 開群組等人願者上釣都係個方法
common_voice_yue_40808561 你唔好做架樑
common_voice_yue_40808563 起身錄錄下音整句噉嘅嘢過我嘆
common_voice_yue_40808575 同一部機獨享一千嘅分別
common_voice_yue_40808577 聽到頭痛
common_voice_yue_40808579 唔知係咪有咩緊要嘢㗎嘛
common_voice_yue_40808596 工場製冰
common_voice_yue_40808597 聽到都覺得攰
common_voice_yue_40808598 八個字搭車應該返到公司啦？
common_voice_yue_40808599 節哀順變
common_voice_yue_40808613 除咗嗰句難明啲其他都有文有路
common_voice_yue_40808615 我就因為尿兜好臭唔想有棍
common_voice_yue_40808616 高分低能
common_voice_yue_40808624 啲麵索晒水脹晒
common_voice_yue_40808625 無論結果係點，我都會試咗先
common_voice_yue_40808626 靚女就追足十幾年唔厭
common_voice_yue_40808627 上堂兜口兜面就噉揮手嗌佢唔使嗌名
common_voice_yue_40808667 例如澳門個百億輕軌爛攤子都係搵港鐵營運？
common_voice_yue_40808668 仲有暴雨期間通常伴隨雷暴
common_voice_yue_40808670 早幾日搭巴士都有個阿叔猛咁大聲嗌，佢一行上上層坐低，左右隔離啲人走夾唔唞
common_voice_yue_40808840 有兩個有着衫嘅揸機掌鏡
common_voice_yue_40808842 唔敢買股票，我冇睇住個市嘅習慣
common_voice_yue_40808843 佢而家唔出聲扮聽唔到我講嘢
common_voice_yue_40808844 不過我堅係有隻智能手錶，成隻黃色已經唔用
common_voice_yue_40808850 通勝英文都算係英文啦下嘛
common_voice_yue_40808851 我哋仲見唔見㗎？
common_voice_yue_40808852 境外勢力翻到入去都好正常啫
common_voice_yue_40808854 咁完美嘅男人梗係大把仔爭
common_voice_yue_40808865 有冇同直男講過呢啲説話
common_voice_yue_40808866 香港越燒越旺都係因為對家越嚟越升級
common_voice_yue_40808867 所以我嘅結論就係睇朋友擺出嚟嘅嘢根本得唔到快樂，不如唔好睇
common_voice_yue_40808868 啲大陸簽售不嬲少生意，出名伏
common_voice_yue_40808869 仲有咩用法？一時間諗唔起
common_voice_yue_40808880 有時可能想聽落後生啲
common_voice_yue_40808881 光頭唔代表就係一拳超人呀
common_voice_yue_40808883 簡單嚟講就係有班人畫咗幾本講羊村嘅繪本然後就拉咗去坐監
common_voice_yue_40808884 尋日睇演唱會真係攰死我，睇足七粒鐘冇飯食，不過睇現場真係好正
common_voice_yue_40808895 佢廣東話同普通話都好叻
common_voice_yue_40808896 唔好嬲豬啦
common_voice_yue_40808899 我頂唔緊喇！
common_voice_yue_40808910 單身保平安
common_voice_yue_40808911 為每個脆弱嘅腋下而設！
common_voice_yue_40808912 追星買碟買周邊睇音樂節目打歌睇綜藝
common_voice_yue_40808913 有冇收到啲最新詐騙訊息係市建局阿姐吩咐約開會
common_voice_yue_40808914 好多鬼佬成日都用自己單純天真善良嘅心去諗其他人
common_voice_yue_40808920 瞓得着同瞓得稔係有差別
common_voice_yue_40808922 利申真毒冇女
common_voice_yue_40808923 呢啲時候你喺公司有咩做
common_voice_yue_40808924 因為行多啲路先可以睇多啲嘢
common_voice_yue_40841298 有啲難控制
common_voice_yue_40841306 我鍾意啊
common_voice_yue_40841310 你有冇黑人血統
common_voice_yue_40841333 試下夜晚洗面個陣加啲平時煮飯個啲砂糖
common_voice_yue_40841334 最弊次次放完假，點都係有嘢執手尾
common_voice_yue_40841347 咩高畫質資源嗰個好似有正嘢喎
common_voice_yue_40841367 一個禮拜應該都算正常嘅
common_voice_yue_40841369 唔辛苦點得世間財呢
common_voice_yue_40841377 全部本地音樂人要識咩外國歌迷
common_voice_yue_40841396 路人粉加一
common_voice_yue_40841404 我啲廣州親戚請我吔好多大餐
common_voice_yue_40841418 而家真係好多投資詐騙
common_voice_yue_40841422 家陣個社會割裂真係好犀利，啲人生活喺兩個世界噉
common_voice_yue_40841424 類似嘅都有嘅
common_voice_yue_40841425 乜你覺得你真係做到咩？
common_voice_yue_40841430 校花校草選舉？好青春個個十八廿二
common_voice_yue_40841431 如果有咩推介都歡迎話我知
common_voice_yue_40841441 其實呢啲事日日有，或者講，一百年前成個中國社會都係噉，只不過大城市資本主義發展呢啲封建餘孽冇咗，農村小地方就保留晒呢啲傳統習俗
common_voice_yue_40841499 同埋九聲其實冇六聲咁好
common_voice_yue_40841503 買咗百二蚊，坐喺度搽緊嗰時一失手揈咗四十蚊落枱
common_voice_yue_40841518 只要電車唔停駛，都係要返工
common_voice_yue_40841523 我仲未話你知，由我哋識嘅第一日
common_voice_yue_40841526 我呢我呢？
common_voice_yue_40841527 我成日覺得佢哋好有創意
common_voice_yue_40841528 我先明白原來我冇考慮過你嘅感受
common_voice_yue_40841531 睇清楚又好似冇咁嚴重
common_voice_yue_40841536 第一次玩，爭啲過唔到關
common_voice_yue_40841538 我冇玩好耐，但以前啱啱接觸嗰陣係幾好玩
common_voice_yue_40841546 我嘅本能反應蓋過咗我嘅理智
common_voice_yue_40841549 香港兩頭唔到岸
common_voice_yue_40841560 我係咪寫多啲漢字詞好啲
common_voice_yue_40841561 唔會冚你檔咩
common_voice_yue_40841563 呢啲嘢留返同靚仔做啦
common_voice_yue_40841566 唔知直男會點睇
common_voice_yue_40841572 不過今日呢位似乎道行未夠深
common_voice_yue_40841580 唔係去溫哥華定唔知多倫多咩
common_voice_yue_40841581 噉係咩原因令條女想檢查晒啲訊息呢？
common_voice_yue_40841589 望住我尷尷尬尬噉
common_voice_yue_40841600 多不勝數
common_voice_yue_40841611 你逼我嘅
common_voice_yue_40841614 應該帝國嘅統治者先叫皇帝
common_voice_yue_40841618 我食咗飯先返屋企
common_voice_yue_40841624 我係咪嗰啲單向溝組媽嘅小毒毒
common_voice_yue_40841631 冇學過吖嘛
common_voice_yue_40841635 天水圍墮天地獄獸
common_voice_yue_40841643 冇話係佢
common_voice_yue_40841647 可能我口味獨特
common_voice_yue_40841648 我覺得可以
common_voice_yue_40841649 你又估到出唔到境嘅
common_voice_yue_40841650 俾人話我改個噉嘅名係預言家
common_voice_yue_40841651 冇錯，係用唔到嚟做語料
common_voice_yue_40841652 去旅行有買手信就關我事嘞
common_voice_yue_40841655 韓國日本拍咁多人性黑暗嘅戲
common_voice_yue_40841659 需唔需要貼身保護服務！？
common_voice_yue_40841666 我自己本身養嘅貓
common_voice_yue_40841676 畀個讚好你
common_voice_yue_40841677 我知道，但唔懂
common_voice_yue_40841683 新年快樂
common_voice_yue_40841685 愛都要識得放手
common_voice_yue_40841686 有冇睇埋尼爾自動人形嘅小說
common_voice_yue_40841695 民進黨係俾人拉去坐政治監添
common_voice_yue_40841699 上面條片好似係黑龍江
common_voice_yue_40841702 佢係返工就唔會問人癲唔癲啦
common_voice_yue_40841704 好似有第一單就好容易再出現多幾單噉
common_voice_yue_40841705 哲學堂連專業嗰啲都譯到媽媽聲
common_voice_yue_40841711 你唔使加多個選項喇，就係香港人
common_voice_yue_40841712 我知啊我都喺嗰個谷入面
common_voice_yue_40841725 你有冇喺大群？
common_voice_yue_40841726 以前好少睇佢哋，而家佢哋啲片都剷晒？
common_voice_yue_40841733 香港聽日都唔使戴口罩嘞！
common_voice_yue_40841740 有段我覺得自己總結得好好要喺度分享
common_voice_yue_40841741 要入去同班人住幾個月先得，會刷新認知
common_voice_yue_40841742 細個學過日文，唔記得晒
common_voice_yue_40841745 各位中秋節快樂
common_voice_yue_40841746 知嘅，但因為你講緊啲朋友
common_voice_yue_40841747 北歐啲公司會放暑假我就知
common_voice_yue_40841751 我嗰日拎咗佢電話睇
common_voice_yue_40841752 要搵其他大學嘅人做任務
common_voice_yue_40841757 呢個我都會用
common_voice_yue_40841758 大將軍係自己開律師樓
common_voice_yue_40841759 唔計翻牆嗰啲
common_voice_yue_40841761 點解唔同得我講
common_voice_yue_40841763 呢句點會唔算粗口啊，你標準好低喎
common_voice_yue_40841764 我都話想吹水就是但吹
common_voice_yue_31259676 因爲發達囉
common_voice_yue_31259771 嗯，多謝分享經驗
common_voice_yue_31266511 我老豆講廣州話嘅
common_voice_yue_31344089 食到滯晒，去做嘢好過
common_voice_yue_31344359 我高中有個同學係寒冰掌，沖熱水就感冒
common_voice_yue_31360667 係高手修改谷歌瀏覽器得嚟嘅
common_voice_yue_31360677 唔會太長嘅我都寫
common_voice_yue_31360731 明明高考呢啲咁重要嘅事，應該好緊張先得㗎
common_voice_yue_31360734 幾十世都唔入去一次
common_voice_yue_31360760 我唔知你講嘅語音服務係指咩
common_voice_yue_31401557 揀字嗰度冇啊
common_voice_yue_31401568 之前音量為零都有聲嘅
common_voice_yue_31407239 話之佢啦而家
common_voice_yue_31407292 只係地道嘅詞
common_voice_yue_31407306 噉起碼後兩條報咗先啦
common_voice_yue_31420811 呢幾日都落狗屎，四圍濕??
common_voice_yue_31420841 係噃，諗返轉頭好似係攪錯咗
common_voice_yue_31420885 寫成第二啲會引人歪音嘅錯字
common_voice_yue_31427234 開啟禁言啦，費事群主逐個講
common_voice_yue_31427239 有冇人陪我睇使徒行者二？
common_voice_yue_31443903 有時都幾矛盾，
common_voice_yue_31443905 唔見用戶體驗差
common_voice_yue_31451971 靜靜哋，穩穩陣陣噉等到畢業
common_voice_yue_31451974 已經好親密，係人生嘅伴侶，係最好嘅朋友
common_voice_yue_31483963 佢為咗你好畀心機去做咗個驚喜
common_voice_yue_31484063 我興奮死嘞就嚟
common_voice_yue_31484070 佢得到佢想要嘅嘢之前都唔會停
common_voice_yue_31484096 讀名校就畀咗機會你
common_voice_yue_31484108 你有咩大鑊飯記得叫埋我喎
common_voice_yue_31484111 就算佢錯都會還擊？
common_voice_yue_31484138 我唔可以行出間屋，除非有重要嘢
common_voice_yue_31494151 認咗佢啦
common_voice_yue_31494180 一開始，我都無視佢，但佢又死咬唔放
common_voice_yue_31943502 呢個未見過喎，生得咁奇離，咩動物嚟㗎
common_voice_yue_31943503 離開呢度
common_voice_yue_31943531 一陣我就冇咗
common_voice_yue_31943595 仲揾乜嘢培訓班，本地人就係最好嘅老師
common_voice_yue_32201420 我睇唔明你哋講緊乜嘢
common_voice_yue_32201448 我唔用智能手機
common_voice_yue_32201449 間屋而家有五個租客
common_voice_yue_32201452 要提高下質素
common_voice_yue_32201483 你哋係點整走個背景圖㗎
common_voice_yue_32201485 佢哋做得咁差，我哋唔可以抱怨？
common_voice_yue_32201538 你喺深水埗住？
common_voice_yue_32201543 都係動詞用法
common_voice_yue_32201570 疫情期間博彩業死咗九成
common_voice_yue_35185395 模仿個音啫
common_voice_yue_35185448 咪同僆仔一樣意思囉
common_voice_yue_35185497 而家根本冇文言文教育
common_voice_yue_35185514 覺得呢張圖片係咩意思？
common_voice_yue_35185524 我喺更新內容嗰度寫埋出嚟，睇下啲人有冇建議
common_voice_yue_35186504 首先需要熟悉好壞資料
common_voice_yue_35188971 閣下發圖我睇下
common_voice_yue_35189000 僕街冚家鏟
common_voice_yue_35189098 收咗喇咩？
common_voice_yue_35195127 因為聼日實比尋日好
common_voice_yue_35195135 反正兩套方案
common_voice_yue_35195141 今晚同我執嘢走，聽朝我要見到你哋全部消失
common_voice_yue_35195150 網路設置冇代理
common_voice_yue_35195219 你乜嘢網路
common_voice_yue_35195255 呢幾個電話號碼仲有邊啲係冇用嘅？
common_voice_yue_35195276 買交通燈嘅蔬菜
common_voice_yue_35195417 呢單嘢你唔好插手啊
common_voice_yue_36869790 你嘅意思即係而家完全冇晒支援？
common_voice_yue_36869791 同猶太人係兄弟
common_voice_yue_31959481 真係未聽過
common_voice_yue_31959503 有啲人以為金文係金國嘅文字
common_voice_yue_31959504 我回應佢都回應得十分客氣㗎喇
common_voice_yue_31959556 原來你有個咁有新意嘅諗法
common_voice_yue_31959603 講埋先啦
common_voice_yue_32089298 字母嘅位置未擺好
common_voice_yue_32089309 邊本字典寫到明話有呢個意思？
common_voice_yue_32089311 所以如果我有錯嘅都好我都會坦白講出嚟，認咗佢
common_voice_yue_32089348 邊個好似我一樣而家喺琶洲
common_voice_yue_32089373 好核突囉你
common_voice_yue_32089384 所謂嘅有文化
common_voice_yue_32089387 如果佢黐住個鑊，唔使憂，呢個係糖分焦糖化緊
common_voice_yue_32089394 所以激走佢
common_voice_yue_32089396 就係上邊發嘅廣告
common_voice_yue_32089397 有冇閩南語嘅？
common_voice_yue_32089416 唔好將一啲不實嘅言論隨便發上網
common_voice_yue_32999688 唔好話你冇能力改變自己命運
common_voice_yue_32999695 而家嘅小學生必修課
common_voice_yue_32999698 果然係大陸字形
common_voice_yue_32999716 又嚟揾人幫手旁白推廣粵語
